path,label,score
/root/ablated/cifake/high/fake/0 (10).png,1,-0.832636058
/root/ablated/cifake/high/fake/0 (2).png,1,-0.556404412
/root/ablated/cifake/high/fake/0 (3).png,1,0.651160061
/root/ablated/cifake/high/fake/0 (4).png,1,1.247203827
/root/ablated/cifake/high/fake/0 (5).png,1,2.786632299
/root/ablated/cifake/high/fake/0 (6).png,1,1.475394249
/root/ablated/cifake/high/fake/0 (7).png,1,1.518898845
/root/ablated/cifake/high/fake/0 (8).png,1,1.408914566
/root/ablated/cifake/high/fake/0 (9).png,1,2.046040773
/root/ablated/cifake/high/fake/0.png,1,-0.982595265
/root/ablated/cifake/high/fake/1 (10).png,1,-0.94590807
/root/ablated/cifake/high/fake/1 (2).png,1,0.189405948
/root/ablated/cifake/high/fake/1 (3).png,1,1.413317561
/root/ablated/cifake/high/fake/1 (4).png,1,-0.016169352
/root/ablated/cifake/high/fake/1 (5).png,1,0.803607941
/root/ablated/cifake/high/fake/1 (6).png,1,0.214581162
/root/ablated/cifake/high/fake/1 (7).png,1,0.22715573
/root/ablated/cifake/high/fake/1 (8).png,1,0.345068187
/root/ablated/cifake/high/fake/1 (9).png,1,-1.244921207
/root/ablated/cifake/high/fake/1.png,1,-0.208313033
/root/ablated/cifake/high/fake/10 (10).png,1,0.003945741
/root/ablated/cifake/high/fake/10 (2).png,1,0.594260514
/root/ablated/cifake/high/fake/10 (3).png,1,2.967772722
/root/ablated/cifake/high/fake/10 (4).png,1,-0.341069698
/root/ablated/cifake/high/fake/10 (5).png,1,0.343257636
/root/ablated/cifake/high/fake/10 (6).png,1,2.034490585
/root/ablated/cifake/high/fake/10 (7).png,1,1.985535026
/root/ablated/cifake/high/fake/10 (8).png,1,-0.108846329
/root/ablated/cifake/high/fake/10 (9).png,1,1.291567802
/root/ablated/cifake/high/fake/10.png,1,0.068841107
/root/ablated/cifake/high/fake/100 (10).png,1,-2.436281681
/root/ablated/cifake/high/fake/100 (2).png,1,-0.464886874
/root/ablated/cifake/high/fake/100 (3).png,1,0.381981999
/root/ablated/cifake/high/fake/100 (4).png,1,-1.439879537
/root/ablated/cifake/high/fake/100 (5).png,1,1.683303475
/root/ablated/cifake/high/fake/100 (6).png,1,-0.386867791
/root/ablated/cifake/high/fake/100 (7).png,1,-2.024731398
/root/ablated/cifake/high/fake/100 (8).png,1,0.253011465
/root/ablated/cifake/high/fake/100 (9).png,1,0.66600734
/root/ablated/cifake/high/fake/100.png,1,-0.137532905
/root/ablated/cifake/high/fake/101 (10).png,1,-0.713839293
/root/ablated/cifake/high/fake/101 (2).png,1,1.395985961
/root/ablated/cifake/high/fake/101 (3).png,1,-0.053861357
/root/ablated/cifake/high/fake/101 (4).png,1,-0.854134381
/root/ablated/cifake/high/fake/101 (5).png,1,1.031702518
/root/ablated/cifake/high/fake/101 (6).png,1,-0.936013639
/root/ablated/cifake/high/fake/101 (7).png,1,-0.226470515
/root/ablated/cifake/high/fake/101 (8).png,1,-0.060542542
/root/ablated/cifake/high/fake/101 (9).png,1,-1.093980789
/root/ablated/cifake/high/fake/101.png,1,-0.939348996
/root/ablated/cifake/high/fake/102 (10).png,1,-0.412860215
/root/ablated/cifake/high/fake/102 (2).png,1,0.08669617
/root/ablated/cifake/high/fake/102 (3).png,1,3.08633399
/root/ablated/cifake/high/fake/102 (4).png,1,-0.744592369
/root/ablated/cifake/high/fake/102 (5).png,1,2.475049734
/root/ablated/cifake/high/fake/102 (6).png,1,0.382447481
/root/ablated/cifake/high/fake/102 (7).png,1,0.335901946
/root/ablated/cifake/high/fake/102 (8).png,1,-1.866126299
/root/ablated/cifake/high/fake/102 (9).png,1,1.763557315
/root/ablated/cifake/high/fake/102.png,1,-0.700699151
/root/ablated/cifake/high/fake/103 (10).png,1,-1.535801888
/root/ablated/cifake/high/fake/103 (2).png,1,-1.051166773
/root/ablated/cifake/high/fake/103 (3).png,1,1.641487002
/root/ablated/cifake/high/fake/103 (4).png,1,1.063997149
/root/ablated/cifake/high/fake/103 (5).png,1,2.243754625
/root/ablated/cifake/high/fake/103 (6).png,1,0.646820247
/root/ablated/cifake/high/fake/103 (7).png,1,0.835945547
/root/ablated/cifake/high/fake/103 (8).png,1,-1.775218844
/root/ablated/cifake/high/fake/103 (9).png,1,2.107350111
/root/ablated/cifake/high/fake/103.png,1,-0.18423219
/root/ablated/cifake/high/fake/104 (10).png,1,-2.517291069
/root/ablated/cifake/high/fake/104 (2).png,1,-0.501228273
/root/ablated/cifake/high/fake/104 (3).png,1,1.450844049
/root/ablated/cifake/high/fake/104 (4).png,1,-0.29867816
/root/ablated/cifake/high/fake/104 (5).png,1,1.347457886
/root/ablated/cifake/high/fake/104 (6).png,1,0.542048872
/root/ablated/cifake/high/fake/104 (7).png,1,0.917653978
/root/ablated/cifake/high/fake/104 (8).png,1,1.131867766
/root/ablated/cifake/high/fake/104 (9).png,1,1.810010791
/root/ablated/cifake/high/fake/104.png,1,-1.66179657
/root/ablated/cifake/high/fake/105 (10).png,1,-0.1193064
/root/ablated/cifake/high/fake/105 (2).png,1,-1.446343899
/root/ablated/cifake/high/fake/105 (3).png,1,1.153447628
/root/ablated/cifake/high/fake/105 (4).png,1,-1.382793427
/root/ablated/cifake/high/fake/105 (5).png,1,0.679810464
/root/ablated/cifake/high/fake/105 (6).png,1,0.271324784
/root/ablated/cifake/high/fake/105 (7).png,1,-1.541985154
/root/ablated/cifake/high/fake/105 (8).png,1,2.162658453
/root/ablated/cifake/high/fake/105 (9).png,1,0.275754243
/root/ablated/cifake/high/fake/105.png,1,0.927065313
/root/ablated/cifake/high/fake/106 (10).png,1,0.789732039
/root/ablated/cifake/high/fake/106 (2).png,1,0.31080696
/root/ablated/cifake/high/fake/106 (3).png,1,-0.620831072
/root/ablated/cifake/high/fake/106 (4).png,1,-0.758449137
/root/ablated/cifake/high/fake/106 (5).png,1,0.90794605
/root/ablated/cifake/high/fake/106 (6).png,1,-0.395832866
/root/ablated/cifake/high/fake/106 (7).png,1,0.893433511
/root/ablated/cifake/high/fake/106 (8).png,1,0.517677724
/root/ablated/cifake/high/fake/106 (9).png,1,-0.27465871
/root/ablated/cifake/high/fake/106.png,1,0.313429803
/root/ablated/cifake/high/fake/107 (10).png,1,-0.319921166
/root/ablated/cifake/high/fake/107 (2).png,1,-0.767081678
/root/ablated/cifake/high/fake/107 (3).png,1,-0.55259043
/root/ablated/cifake/high/fake/107 (4).png,1,1.087307572
/root/ablated/cifake/high/fake/107 (5).png,1,0.162124872
/root/ablated/cifake/high/fake/107 (6).png,1,1.025363803
/root/ablated/cifake/high/fake/107 (7).png,1,2.086074591
/root/ablated/cifake/high/fake/107 (8).png,1,-1.196008682
/root/ablated/cifake/high/fake/107 (9).png,1,0.162547633
/root/ablated/cifake/high/fake/107.png,1,-3.398959875
/root/ablated/cifake/high/fake/108 (10).png,1,0.693975627
/root/ablated/cifake/high/fake/108 (2).png,1,0.02534592
/root/ablated/cifake/high/fake/108 (3).png,1,0.405172557
/root/ablated/cifake/high/fake/108 (4).png,1,-0.02095269
/root/ablated/cifake/high/fake/108 (5).png,1,0.018749086
/root/ablated/cifake/high/fake/108 (6).png,1,-0.528583229
/root/ablated/cifake/high/fake/108 (7).png,1,3.070987701
/root/ablated/cifake/high/fake/108 (8).png,1,-0.026272221
/root/ablated/cifake/high/fake/108 (9).png,1,-1.879472375
/root/ablated/cifake/high/fake/108.png,1,1.156700015
/root/ablated/cifake/high/fake/109 (10).png,1,0.122659877
/root/ablated/cifake/high/fake/109 (2).png,1,-0.492231846
/root/ablated/cifake/high/fake/109 (3).png,1,0.784178793
/root/ablated/cifake/high/fake/109 (4).png,1,-1.1471591
/root/ablated/cifake/high/fake/109 (5).png,1,0.810440242
/root/ablated/cifake/high/fake/109 (6).png,1,-0.446488053
/root/ablated/cifake/high/fake/109 (7).png,1,0.627538919
/root/ablated/cifake/high/fake/109 (8).png,1,-0.006610801
/root/ablated/cifake/high/fake/109 (9).png,1,1.604896903
/root/ablated/cifake/high/fake/109.png,1,-0.992711961
/root/ablated/cifake/high/fake/11 (10).png,1,-1.390680432
/root/ablated/cifake/high/fake/11 (2).png,1,-0.792024434
/root/ablated/cifake/high/fake/11 (3).png,1,-1.149831891
/root/ablated/cifake/high/fake/11 (4).png,1,0.229871064
/root/ablated/cifake/high/fake/11 (5).png,1,1.185832858
/root/ablated/cifake/high/fake/11 (6).png,1,0.446536064
/root/ablated/cifake/high/fake/11 (7).png,1,-0.100566603
/root/ablated/cifake/high/fake/11 (8).png,1,-1.276107788
/root/ablated/cifake/high/fake/11 (9).png,1,-1.731930017
/root/ablated/cifake/high/fake/11.png,1,-0.471028894
/root/ablated/cifake/high/fake/110 (10).png,1,1.042536139
/root/ablated/cifake/high/fake/110 (2).png,1,-2.084779501
/root/ablated/cifake/high/fake/110 (3).png,1,-0.557312787
/root/ablated/cifake/high/fake/110 (4).png,1,-2.836019754
/root/ablated/cifake/high/fake/110 (5).png,1,0.027685929
/root/ablated/cifake/high/fake/110 (6).png,1,-1.429331183
/root/ablated/cifake/high/fake/110 (7).png,1,-0.287861943
/root/ablated/cifake/high/fake/110 (8).png,1,0.371310055
/root/ablated/cifake/high/fake/110 (9).png,1,1.049455523
/root/ablated/cifake/high/fake/110.png,1,-1.35915041
/root/ablated/cifake/high/fake/111 (10).png,1,0.063103504
/root/ablated/cifake/high/fake/111 (2).png,1,1.135177612
/root/ablated/cifake/high/fake/111 (3).png,1,-0.443705648
/root/ablated/cifake/high/fake/111 (4).png,1,0.216257006
/root/ablated/cifake/high/fake/111 (5).png,1,0.529577911
/root/ablated/cifake/high/fake/111 (6).png,1,-1.414560676
/root/ablated/cifake/high/fake/111 (7).png,1,-0.764276087
/root/ablated/cifake/high/fake/111 (8).png,1,0.237570032
/root/ablated/cifake/high/fake/111 (9).png,1,1.013694644
/root/ablated/cifake/high/fake/111.png,1,-1.692535281
/root/ablated/cifake/high/fake/112 (10).png,1,-0.02794667
/root/ablated/cifake/high/fake/112 (2).png,1,-0.274092734
/root/ablated/cifake/high/fake/112 (3).png,1,1.070718169
/root/ablated/cifake/high/fake/112 (4).png,1,-0.154852748
/root/ablated/cifake/high/fake/112 (5).png,1,1.567751884
/root/ablated/cifake/high/fake/112 (6).png,1,0.907366693
/root/ablated/cifake/high/fake/112 (7).png,1,-0.944858253
/root/ablated/cifake/high/fake/112 (8).png,1,0.489087015
/root/ablated/cifake/high/fake/112 (9).png,1,0.194270983
/root/ablated/cifake/high/fake/112.png,1,0.489423096
/root/ablated/cifake/high/fake/113 (10).png,1,-1.532704592
/root/ablated/cifake/high/fake/113 (2).png,1,0.529507279
/root/ablated/cifake/high/fake/113 (3).png,1,2.481046677
/root/ablated/cifake/high/fake/113 (4).png,1,-0.877501607
/root/ablated/cifake/high/fake/113 (5).png,1,0.052515227
/root/ablated/cifake/high/fake/113 (6).png,1,1.399203897
/root/ablated/cifake/high/fake/113 (7).png,1,0.661539614
/root/ablated/cifake/high/fake/113 (8).png,1,0.599610984
/root/ablated/cifake/high/fake/113 (9).png,1,-1.289870501
/root/ablated/cifake/high/fake/113.png,1,1.022445321
/root/ablated/cifake/high/fake/114 (10).png,1,0.090097226
/root/ablated/cifake/high/fake/114 (2).png,1,-2.018269062
/root/ablated/cifake/high/fake/114 (3).png,1,-2.010825157
/root/ablated/cifake/high/fake/114 (4).png,1,0.931683362
/root/ablated/cifake/high/fake/114 (5).png,1,-0.116016068
/root/ablated/cifake/high/fake/114 (6).png,1,-0.087043218
/root/ablated/cifake/high/fake/114 (7).png,1,1.113286257
/root/ablated/cifake/high/fake/114 (8).png,1,-1.388574481
/root/ablated/cifake/high/fake/114 (9).png,1,0.098294415
/root/ablated/cifake/high/fake/114.png,1,-1.187924266
